id,name,symbol,weight
268,Rockwell Automation Inc.,ROK,0.079831
269,United Airlines Holdings Inc.,UAL,0.079593
270,Kraft Heinz Company,KHC,0.079400
271,VeriSign Inc.,VRSN,0.078828
272,Chipotle Mexican Grill Inc.,CMG,0.078753
273,Ameriprise Financial Inc.,AMP,0.078334
274,Boston Properties Inc.,BXP,0.078245
275,Corteva Inc,CTVA,0.078189
276,Kroger Co.,KR,0.078071
277,MSCI Inc. Class A,MSCI,0.077988
278,McCormick & Company Incorporated,MKC,0.077707
279,Ameren Corporation,AEE,0.074958
280,Expedia Group Inc.,EXPE,0.074927
281,Keysight Technologies Inc,KEYS,0.074816
282,Vulcan Materials Company,VMC,0.074813
283,Royal Caribbean Cruises Ltd.,RCL,0.073698
284,Clorox Company,CLX,0.073661
285,Republic Services Inc.,RSG,0.073484
286,CDW Corp.,CDW,0.073438
287,HCP Inc.,HCP,0.073300
288,ANSYS Inc.,ANSS,0.073269
289,Cadence Design Systems Inc.,CDNS,0.072815
290,Align Technology Inc.,ALGN,0.072603
291,CMS Energy Corporation,CMS,0.071901
292,KeyCorp,KEY,0.071484
293,CBRE Group Inc. Class A,CBRE,0.071457
294,First Republic Bank,FRC,0.070984
295,Alexandria Real Estate Equities Inc.,ARE,0.070599
296,D.R. Horton Inc.,DHI,0.069754
297,Mettler-Toledo International Inc.,MTD,0.069143
298,Cincinnati Financial Corporation,CINF,0.068086
299,International Paper Company,IP,0.068061
300,Church & Dwight Co. Inc.,CHD,0.067833
301,Carnival Corporation,CCL,0.067572
302,Hess Corporation,HES,0.067512
303,Lennar Corporation Class A,LEN,0.067233
304,Arthur J. Gallagher & Co.,AJG,0.066784
305,Omnicom Group Inc,OMC,0.066598
306,Halliburton Company,HAL,0.066068
307,Best Buy Co. Inc.,BBY,0.066010
308,Copart Inc.,CPRT,0.065849
309,Equifax Inc.,EFX,0.065164
310,Nucor Corporation,NUE,0.065054
311,Martin Marietta Materials Inc.,MLM,0.064701
312,Laboratory Corporation of America Holdings,LH,0.063844
313,Regions Financial Corporation,RF,0.063719
314,Teleflex Incorporated,TFX,0.063565
315,Maxim Integrated Products Inc.,MXIM,0.063348
316,Kellogg Company,K,0.062700
317,Mid-America Apartment Communities Inc.,MAA,0.062529
318,Citizens Financial Group Inc.,CFG,0.062370
319,Skyworks Solutions Inc.,SWKS,0.062340
320,CarMax Inc.,KMX,0.061399
321,Amcor PLC,AMCR,0.061260
322,Western Digital Corporation,WDC,0.059989
323,Dover Corporation,DOV,0.059841
324,Evergy Inc.,EVRG,0.059705
325,Celanese Corporation,CE,0.059469
326,WellCare Health Plans Inc.,WCG,0.059157
327,Genuine Parts Company,GPC,0.059138
328,MGM Resorts International,MGM,0.058959
329,Incyte Corporation,INCY,0.058797
330,UDR Inc.,UDR,0.058381
331,Huntington Bancshares Incorporated,HBAN,0.058168
332,Cardinal Health Inc.,CAH,0.057826
333,CenterPoint Energy Inc.,CNP,0.057452
334,Broadridge Financial Solutions Inc.,BR,0.056758
335,Cooper Companies Inc.,COO,0.056585
336,Freeport-McMoRan Inc.,FCX,0.056468
337,Extra Space Storage Inc.,EXR,0.056441
338,Akamai Technologies Inc.,AKAM,0.056094
339,Waters Corporation,WAT,0.056054
340,Kansas City Southern,KSU,0.055982
341,Diamondback Energy Inc.,FANG,0.055476
342,Baker Hughes Company Class A,BKR,0.055168
343,MarketAxess Holdings Inc.,MKTX,0.055063
344,Principal Financial Group Inc.,PFG,0.054699
345,Seagate Technology PLC,STX,0.054508
346,Ulta Beauty Inc,ULTA,0.054433
347,Xylem Inc.,XYL,0.054379
348,Gartner Inc.,IT,0.054281
349,Darden Restaurants Inc.,DRI,0.054267
350,W.W. Grainger Inc.,GWW,0.054131
351,Garmin Ltd.,GRMN,0.053737
352,Concho Resources Inc.,CXO,0.053479
353,Take-Two Interactive Software Inc.,TTWO,0.053367
